id,key,value,type
3940472966,opening_hours,Mar-Oct 08:00-11:30; 16:00-19:30; Nov-Feb 08:30-12:00; 15:30-19:00,regular
3940472966,opening_hours,Mar-Oct 08:00-11:30; 16:00-19:30; Nov-Feb 08:30-12:00; 15:30-19:00,regular
3940472967,opening_hours,Mar-Oct 08:00-11:30; 16:00-19:30; Nov-Feb 08:30-12:00; 15:30-19:00,regular
3940472967,opening_hours,Mar-Oct 08:00-11:30; 16:00-19:30; Nov-Feb 08:30-12:00; 15:30-19:00,regular
3940472967,opening_hours,Mar-Oct 08:00-11:30; 16:00-19:30; Nov-Feb 08:30-12:00; 15:30-19:00,regular
3940472967,opening_hours,Mar-Oct 08:00-11:30; 16:00-19:30; Nov-Feb 08:30-12:00; 15:30-19:00,regular
3940472968,opening_hours,Mar-Oct 08:00-11:30; 16:00-19:30; Nov-Feb 08:30-12:00; 15:30-19:00,regular
3940472968,opening_hours,Mar-Oct 08:00-11:30; 16:00-19:30; Nov-Feb 08:30-12:00; 15:30-19:00,regular
3940472968,opening_hours,Mar-Oct 08:00-11:30; 16:00-19:30; Nov-Feb 08:30-12:00; 15:30-19:00,regular
3940472968,opening_hours,Mar-Oct 08:00-11:30; 16:00-19:30; Nov-Feb 08:30-12:00; 15:30-19:00,regular
3940472969,opening_hours,Mar-Oct 08:00-11:30; 16:00-19:30; Nov-Feb 08:30-12:00; 15:30-19:00,regular
3940472969,opening_hours,Mar-Oct 08:00-11:30; 16:00-19:30; Nov-Feb 08:30-12:00; 15:30-19:00,regular
3940472969,opening_hours,Mar-Oct 08:00-11:30; 16:00-19:30; Nov-Feb 08:30-12:00; 15:30-19:00,regular
3940472969,opening_hours,Mar-Oct 08:00-11:30; 16:00-19:30; Nov-Feb 08:30-12:00; 15:30-19:00,regular
3949899542,power,tower,regular
3949899543,power,tower,regular
3949899544,power,tower,regular
3949899545,power,tower,regular
3949899546,power,tower,regular
3949899547,power,tower,regular
3949899548,power,tower,regular
3949899549,power,tower,regular
3949899550,power,tower,regular
3949899551,power,tower,regular
3949899552,power,tower,regular
3949899553,power,tower,regular
3949899554,power,tower,regular
3949899555,power,tower,regular
3949899556,power,tower,regular
3949903892,power,tower,regular
3949903893,power,tower,regular
3949903894,power,tower,regular
3949903895,power,tower,regular
3996679157,office,yes,regular
3996679157,office,yes,regular
3996679158,office,research,regular
3996679158,office,research,regular
3996679159,office,research,regular
3996679159,office,research,regular
3996679160,office,research,regular
3996679160,office,research,regular
3996679161,office,research,regular
3996679161,office,research,regular
4085100982,postcode,380007,addr
4085100982,postcode,380007,addr
4085100982,postcode,380007,addr
4085100982,postcode,380007,addr
4085100982,postcode,380007,addr
4085100982,postcode,380007,addr
4085100982,postcode,380007,addr
4085101805,leisure,park,regular
4085101805,leisure,park,regular
4127286289,housenumber,3,addr
4127286289,housenumber,3,addr
4127286289,housenumber,3,addr
4127286289,housenumber,3,addr
4131676563,barrier,fence,regular
4131676563,barrier,fence,regular
4131676564,barrier,fence,regular
4131676564,barrier,fence,regular
4131676565,leisure,park,regular
4151036115,natural,tree,regular
4151043275,natural,tree,regular
4151045394,natural,tree,regular
4151045400,natural,tree,regular
4199023903,amenity,cafe,regular
4199023903,amenity,cafe,regular
4199023904,cuisine,vegetarian,regular
4199023904,cuisine,vegetarian,regular
4199023904,cuisine,vegetarian,regular
4199023905,cuisine,sandwich,regular
4199023905,cuisine,sandwich,regular
4199023905,cuisine,sandwich,regular
4199023906,cuisine,burger,regular
4199023906,cuisine,burger,regular
4199023906,cuisine,burger,regular
4199023907,cuisine,vegetarian,regular
4199023907,cuisine,vegetarian,regular
4199023907,cuisine,vegetarian,regular
4199023908,shop,supermarket,regular
4199023908,shop,supermarket,regular
4209128145,amenity,toilets,regular
4209128145,amenity,toilets,regular
4209128145,amenity,toilets,regular
4210120722,amenity,car_wash,regular
4210120722,amenity,car_wash,regular
4210649810,operator,Ahmedabad BRTS,regular
4210649810,operator,Ahmedabad BRTS,regular
4210649810,operator,Ahmedabad BRTS,regular
4210649810,operator,Ahmedabad BRTS,regular
4210649810,operator,Ahmedabad BRTS,regular
4210649810,operator,Ahmedabad BRTS,regular
4210649810,operator,Ahmedabad BRTS,regular
4210649811,religion,hindu,regular
4210649811,religion,hindu,regular
4210649811,religion,hindu,regular
4235324803,railway,crossing,regular
4235456043,noexit,yes,regular
4235456047,noexit,yes,regular
4235456065,noexit,yes,regular
4245565411,lamp_type,electric,regular
4245565411,lamp_type,electric,regular
4248118226,housenumber,"404, Sukan Business Centre",addr
4248118226,housenumber,"404, Sukan Business Centre",addr
4248118226,housenumber,"404, Sukan Business Centre",addr
4248118226,housenumber,"404, Sukan Business Centre",addr
4248118226,housenumber,"404, Sukan Business Centre",addr
4248118226,housenumber,"404, Sukan Business Centre",addr
4248118226,housenumber,"404, Sukan Business Centre",addr
4248118226,housenumber,"404, Sukan Business Centre",addr
4250655296,name,Trisha Hospital,regular
4251921674,postcode,382481,addr
4251921674,postcode,382481,addr
4254423389,postcode,380015,addr
4254423389,postcode,380015,addr
4254423389,postcode,380015,addr
4254423389,postcode,380015,addr
4254427889,wikidata,Q2040394,brand
4254427889,wikidata,Q2040394,brand
4254427889,wikidata,Q2040394,brand
4254427889,wikidata,Q2040394,brand
4254427889,wikidata,Q2040394,brand
4254427889,wikidata,Q2040394,brand
4254427889,wikidata,Q2040394,brand
4254427889,wikidata,Q2040394,brand
4264650395,highway,rest_area,regular
4264650396,opening_hours,Mo-Su 04:00-22:30,regular
4264650396,opening_hours,Mo-Su 04:00-22:30,regular
4264650396,opening_hours,Mo-Su 04:00-22:30,regular
4264650396,opening_hours,Mo-Su 04:00-22:30,regular
4264650396,opening_hours,Mo-Su 04:00-22:30,regular
4265752889,amenity,community_centre,regular
4265752889,amenity,community_centre,regular
4284066679,postcode,380007,addr
4284066679,postcode,380007,addr
4284066679,postcode,380007,addr
4284066679,postcode,380007,addr
4284066679,postcode,380007,addr
4284167327,place,Reliance chowk,addr
4292039992,street,SH-41,addr
4292039992,street,SH-41,addr
4292039992,street,SH-41,addr
4292073590,tourism,hotel,regular
4292073590,tourism,hotel,regular
